datetime,nav,price
2012-10-16,0.896,0.92
2012-10-17,0.898,0.94
2012-10-18,0.914,0.96
2012-10-19,0.912,0.93
2012-10-22,0.916,0.9
2012-10-23,0.904,0.9
2012-10-24,0.902,0.89
2012-10-25,0.895,
2012-10-26,0.878,0.91
2012-10-29,0.877,0.91
2012-10-30,0.88,0.9
2012-10-31,0.883,0.9
2012-11-01,0.9,0.94
2012-11-02,0.905,0.91
2012-11-05,0.901,0.93
2012-11-06,0.892,0.89
2012-11-07,0.891,0.86
2012-11-08,0.872,
2012-11-09,0.869,0.86
2012-11-12,0.873,0.85
2012-11-13,0.856,0.9
2012-11-14,0.858,0.85
2012-11-15,0.843,0.81
2012-11-16,0.839,0.85
2012-11-19,0.84,
2012-11-20,0.836,0.832
2012-11-21,0.845,
2012-11-22,0.834,0.84
2012-11-23,0.837,0.8
2012-11-26,0.827,0.82
2012-11-27,0.799,0.78
2012-11-28,0.784,0.79
2012-11-29,0.777,0.78
2012-11-30,0.789,0.79
2012-12-03,0.772,0.83
2012-12-04,0.783,0.81
2012-12-05,0.809,0.83
2012-12-06,0.809,
2012-12-07,0.825,0.86
2012-12-10,0.838,
2012-12-11,0.833,
2012-12-12,0.833,0.87
2012-12-13,0.822,0.85
2012-12-14,0.853,0.89
2012-12-17,0.861,0.85
2012-12-18,0.859,
2012-12-19,0.862,0.85
2012-12-20,0.865,0.86
2012-12-21,0.864,0.87
2012-12-24,0.869,
2012-12-25,0.888,0.9
2012-12-26,0.9,0.83
2012-12-27,0.895,0.9
2012-12-28,0.906,0.9
2012-12-31,0.915,0.89
2013-01-04,0.912,0.91
2013-01-07,0.921,0.93
2013-01-08,0.932,0.93
2013-01-09,0.936,0.9
2013-01-10,0.942,0.92
2013-01-11,0.92,0.94
2013-01-14,0.95,0.94
2013-01-15,0.966,0.96
2013-01-16,0.967,
2013-01-17,0.956,1.03
2013-01-18,0.969,0.96
2013-01-21,0.976,0.96
2013-01-22,0.96,0.94
2013-01-23,0.962,0.93
2013-01-24,0.942,0.96
2013-01-25,0.942,0.97
2013-01-28,0.965,
2013-01-29,0.973,
2013-01-30,0.977,0.97
2013-01-31,0.972,0.97
2013-02-01,0.978,0.97
2013-02-04,0.973,0.98
2013-02-05,0.984,
2013-02-06,0.991,0.99
2013-02-07,0.995,1
2013-02-08,1.008,1
2013-02-18,1.013,1.05
2013-02-19,0.992,0.98
2013-02-20,1.013,0.99
2013-02-21,0.992,0.99
2013-02-22,0.989,0.98
2013-02-25,0.997,0.97
2013-02-26,0.983,0.99
2013-02-27,0.984,
2013-02-28,1.001,0.98
2013-03-01,1.011,
2013-03-04,0.974,
2013-03-05,0.994,
2013-03-06,1.013,1.05
2013-03-07,1.002,
2013-03-08,0.993,0.98
2013-03-11,0.994,0.94
2013-03-12,0.967,
2013-03-13,0.958,0.99
2013-03-14,0.962,
2013-03-15,0.965,
2013-03-18,0.952,0.96
2013-03-19,0.956,0.97
2013-03-20,0.98,0.98
2013-03-21,0.988,1.02
2013-03-22,0.991,0.98
2013-03-25,0.988,0.98
2013-03-26,0.982,0.95
2013-03-27,0.984,0.98
2013-03-28,0.958,0.96
2013-03-29,0.959,
2013-04-01,0.965,0.95
2013-04-02,0.951,
2013-04-03,0.944,
2013-04-08,0.95,
2013-04-09,0.957,0.94
2013-04-10,0.956,
2013-04-11,0.953,
2013-04-12,0.946,
2013-04-15,0.933,0.94
2013-04-16,0.943,0.94
2013-04-17,0.953,0.99
2013-04-18,0.955,0.99
2013-04-19,0.974,0.98
2013-04-22,0.981,
2013-04-23,0.955,
2013-04-24,0.974,
2013-04-25,0.961,
2013-04-26,0.948,0.98
2013-05-02,0.955,0.97
2013-05-03,0.971,0.98
2013-05-06,0.989,0.98
2013-05-07,0.989,0.99
2013-05-08,0.997,0.98
2013-05-09,0.994,1
2013-05-10,1,0.98
2013-05-13,1.006,1.02
2013-05-14,0.995,1.01
2013-05-15,1.007,1.02
2013-05-16,1.019,1.03
2013-05-17,1.034,1.05
2013-05-20,1.044,1.04
2013-05-21,1.053,1.06
2013-05-22,1.042,1.04
2013-05-23,1.035,1.04
2013-05-24,1.046,1.05
2013-05-27,1.054,1.06
2013-05-28,1.059,1.06
2013-05-29,1.066,1.06
2013-05-30,1.069,1.05
2013-05-31,1.061,1.03
2013-06-03,1.059,1.03
2013-06-04,1.035,0.95
2013-06-05,1.036,
2013-06-06,1.02,
2013-06-07,1.001,
2013-06-13,0.972,
2013-06-14,0.989,1.04
2013-06-17,0.993,0.98
2013-06-18,0.997,0.97
2013-06-19,0.99,0.889
2013-06-20,0.959,
2013-06-21,0.955,0.9
2013-06-24,0.898,0.89
2013-06-25,0.893,
2013-06-26,0.912,
2013-06-27,0.9,
2013-06-28,0.906,
2013-06-30,0.906,0.91
2013-07-01,0.923,
2013-07-02,0.935,
2013-07-03,0.937,
2013-07-04,0.947,
2013-07-05,0.941,0.92
2013-07-08,0.907,0.95
2013-07-09,0.911,
2013-07-10,0.937,0.96
2013-07-11,0.963,0.95
2013-07-12,0.955,
2013-07-15,0.973,
2013-07-16,0.983,0.95
2013-07-17,0.97,
2013-07-18,0.968,0.97
2013-07-19,0.943,
2013-07-22,0.958,
2013-07-23,0.98,
2013-07-24,0.984,
2013-07-25,0.969,
2013-07-26,0.967,
2013-07-29,0.947,
2013-07-30,0.946,
2013-07-31,0.948,
2013-08-01,0.972,
2013-08-02,0.977,0.99
2013-08-05,0.994,
2013-08-06,1.006,
2013-08-07,0.998,1
2013-08-08,1.002,
2013-08-09,1.006,1.02
2013-08-12,1.022,
2013-08-13,1.027,1
2013-08-14,1.023,
2013-08-15,1.009,
2013-08-16,0.992,
2013-08-19,1.007,1
2013-08-20,1.005,1
2013-08-21,1.01,
2013-08-22,1.016,1.02
2013-08-23,1.012,1.02
2013-08-26,1.032,1.11
2013-08-27,1.038,1.03
2013-08-28,1.033,1.01
2013-08-29,1.031,
2013-08-30,1.018,1.03
2013-09-02,1.026,
2013-09-03,1.041,1.04
2013-09-04,1.043,1.08
2013-09-05,1.042,1.04
2013-09-06,1.046,1.04
2013-09-09,1.055,
2013-09-10,1.063,1.04
2013-09-11,1.056,
2013-09-12,1.058,1.04
2013-09-13,1.062,
2013-09-16,1.064,
2013-09-17,1.045,1.06
2013-09-18,1.052,
2013-09-23,1.073,1.04
2013-09-24,1.069,1.04
2013-09-25,1.066,
2013-09-26,1.046,
2013-09-27,1.049,
2013-09-30,1.062,
2013-10-08,1.078,
2013-10-09,1.089,
2013-10-10,1.083,1.1
2013-10-11,1.102,1.08
2013-10-14,1.113,
2013-10-15,1.115,1.16
2013-10-16,1.085,
2013-10-17,1.083,
2013-10-18,1.088,1.09
2013-10-21,1.112,1.16
2013-10-22,1.101,
2013-10-23,1.075,
2013-10-24,1.071,
2013-10-25,1.052,
2013-10-28,1.052,
2013-10-29,1.031,1.26
2013-10-30,1.049,1.26
2013-10-31,1.036,1.13
2013-11-01,1.032,1.07
2013-11-04,1.038,
2013-11-05,1.048,1.02
2013-11-06,1.036,0.99
2013-11-07,1.021,1
2013-11-08,1.004,1.07
2013-11-11,1.009,
2013-11-12,1.018,1.07
2013-11-13,0.999,1.07
2013-11-14,1.014,1.09
2013-11-15,1.033,1.09
2013-11-19,1.06,
2013-11-20,1.069,1.05
2013-11-21,1.063,
2013-11-22,1.057,
2013-11-25,1.057,
2013-11-26,1.057,1.09
2013-11-27,1.07,
2013-11-28,1.082,1.11
2013-11-29,1.089,1.052
2013-12-02,1.047,
2013-12-03,1.074,1.08
2013-12-04,1.091,1.08
2013-12-05,1.09,1.1
2013-12-06,1.087,
2013-12-09,1.097,
2013-12-10,1.1,
2013-12-11,1.087,
2013-12-12,1.091,1.08
2013-12-13,1.092,
2013-12-16,1.074,1.06
2013-12-17,1.068,
2013-12-18,1.068,
2013-12-19,1.06,
2013-12-20,1.045,
2013-12-23,1.046,
2013-12-24,1.051,
