datetime,nav
2021-08-20,1.5545
2021-08-23,1.5705
2021-08-24,1.587
2021-08-25,1.6177
2021-08-26,1.5925
2021-08-27,1.603
2021-08-30,1.6049
2021-08-31,1.6059
2021-09-01,1.6351
2021-09-02,1.6424
2021-09-03,1.6494
2021-09-06,1.6972
2021-09-07,1.714
2021-09-08,1.7124
2021-09-09,1.6995
2021-09-10,1.6994
2021-09-13,1.6962
2021-09-14,1.6739
2021-09-15,1.6508
2021-09-16,1.6495
2021-09-17,1.6571
2021-09-22,1.6346
2021-09-23,1.6569
2021-09-24,1.6748
2021-09-27,1.7084
2021-09-28,1.6795
2021-09-29,1.6648
2021-09-30,1.6828
2021-10-08,1.719
2021-10-11,1.7114
2021-10-12,1.7004
2021-10-13,1.7255
2021-10-14,1.7126
2021-10-15,1.6966
2021-10-18,1.6494
2021-10-19,1.6859
2021-10-20,1.6721
2021-10-21,1.676
2021-10-22,1.6717
2021-10-25,1.668
2021-10-26,1.6629
2021-10-27,1.6388
2021-10-28,1.6534
2021-10-29,1.6943
2021-11-01,1.719
2021-11-02,1.7331
2021-11-03,1.7405
2021-11-04,1.7804
2021-11-05,1.764
2021-11-08,1.7451
2021-11-09,1.7464
2021-11-10,1.7249
2021-11-11,1.7375
2021-11-12,1.7503
2021-11-15,1.7547
2021-11-16,1.7723
2021-11-17,1.7768
2021-11-18,1.7689
2021-11-19,1.774
2021-11-22,1.7851
2021-11-23,1.8083
2021-11-24,1.8257
2021-11-25,1.8242
2021-11-26,1.8114
2021-11-29,1.8274
2021-11-30,1.8086
2021-12-01,1.8144
2021-12-02,1.8008
2021-12-03,1.8166
2021-12-06,1.7943
2021-12-07,1.8062
2021-12-08,1.8489
2021-12-09,1.8706
2021-12-10,1.8687
2021-12-13,1.8636
2021-12-14,1.8612
2021-12-15,1.8371
2021-12-16,1.8376
2021-12-17,1.8179
2021-12-20,1.8181
2021-12-21,1.839
2021-12-22,1.8529
2021-12-23,1.872
2021-12-24,1.8821
2021-12-27,1.8937
2021-12-28,1.8906
2021-12-29,1.8616
2021-12-30,1.8828
2021-12-31,1.9058
2022-01-04,1.9354
2022-01-05,1.9172
2022-01-06,1.9221
2022-01-07,1.8748
2022-01-10,1.9142
2022-01-11,1.8822
2022-01-12,1.9085
2022-01-13,1.8744
2022-01-14,1.8578
2022-01-17,1.8644
2022-01-18,1.8486
2022-01-19,1.8514
2022-01-20,1.8617
2022-01-21,1.8444
2022-01-24,1.8178
2022-01-25,1.7571
2022-01-26,1.7711
2022-01-27,1.73
2022-01-28,1.7417
2022-02-07,1.7792
2022-02-08,1.7964
2022-02-09,1.8427
2022-02-10,1.8617
2022-02-11,1.8327
2022-02-14,1.8166
2022-02-15,1.8159
2022-02-16,1.8155
2022-02-17,1.8113
2022-02-18,1.8288
2022-02-21,1.8366
2022-02-22,1.8159
2022-02-23,1.8123
2022-02-24,1.7773
2022-02-25,1.7875
2022-02-28,1.7936
2022-03-01,1.8298
2022-03-02,1.8396
2022-03-03,1.8194
2022-03-04,1.8171
2022-03-07,1.7805
2022-03-08,1.7301
2022-03-09,1.7156
2022-03-10,1.7292
2022-03-11,1.7658
2022-03-14,1.7049
2022-03-15,1.6061
2022-03-16,1.6321
2022-03-17,1.6602
2022-03-18,1.6823
2022-03-21,1.7135
2022-03-22,1.7251
2022-03-23,1.7227
2022-03-24,1.7143
2022-03-25,1.7174
2022-03-28,1.7095
2022-03-29,1.724
2022-03-30,1.7436
2022-03-31,1.7365
2022-04-01,1.7474
2022-04-06,1.7653
2022-04-07,1.7263
2022-04-08,1.6986
2022-04-11,1.697
2022-04-12,1.7362
2022-04-13,1.7125
2022-04-14,1.7541
2022-04-15,1.7586
2022-04-18,1.8044
2022-04-19,1.8148
2022-04-20,1.8191
2022-04-21,1.7647
2022-04-22,1.7342
2022-04-25,1.6275
2022-04-26,1.5845
2022-04-27,1.6281
2022-04-28,1.5893
2022-04-29,1.6251
2022-05-05,1.653
2022-05-06,1.6184
2022-05-09,1.651
2022-05-10,1.6586
2022-05-11,1.6481
2022-05-12,1.6558
2022-05-13,1.6547
2022-05-16,1.6682
2022-05-17,1.6598
2022-05-18,1.6458
2022-05-19,1.6409
2022-05-20,1.6701
2022-05-23,1.686
2022-05-24,1.6529
2022-05-25,1.684
2022-05-26,1.6853
2022-05-27,1.6811
2022-05-30,1.6914
2022-05-31,1.7349
2022-06-01,1.7161
2022-06-02,1.7016
2022-06-06,1.7141
2022-06-07,1.7211
2022-06-08,1.7286
2022-06-09,1.7254
2022-06-10,1.7394
2022-06-13,1.7527
2022-06-14,1.7821
2022-06-15,1.7731
2022-06-16,1.798
2022-06-17,1.8008
2022-06-20,1.8123
2022-06-21,1.7902
2022-06-22,1.7814
2022-06-23,1.7877
2022-06-24,1.8052
2022-06-27,1.8323
2022-06-28,1.826
2022-06-29,1.7858
2022-06-30,1.8267
2022-07-01,1.8351
2022-07-04,1.8857
2022-07-05,1.8698
2022-07-06,1.8405
2022-07-07,1.8568
2022-07-08,1.8617
2022-07-11,1.8566
2022-07-12,1.8234
2022-07-13,1.8191
2022-07-14,1.8174
2022-07-15,1.7866
2022-07-18,1.8024
2022-07-19,1.8092
2022-07-20,1.8091
2022-07-21,1.7871
2022-07-22,1.7663
2022-07-25,1.7702
2022-07-26,1.7866
2022-07-27,1.7916
2022-07-28,1.7904
2022-07-29,1.7886
2022-08-01,1.7907
2022-08-02,1.7468
2022-08-03,1.7218
2022-08-04,1.7527
2022-08-05,1.7725
2022-08-08,1.7746
2022-08-09,1.7595
2022-08-10,1.748
2022-08-11,1.7714
2022-08-12,1.774
2022-08-15,1.7704
2022-08-16,1.7912
2022-08-17,1.7902
2022-08-18,1.7675
2022-08-19,1.7741
2022-08-22,1.794
2022-08-23,1.7944
2022-08-24,1.7807
2022-08-25,1.8176
2022-08-26,1.8321
