datetime,close,acc_close,div
2014-06-23,836.78,,0.0605
2014-06-24,839.74,,0.0604
2014-06-25,837.83,,0.0604
2014-06-26,842.86,,0.0602
2014-06-27,841.52,,0.0607
2014-06-30,845.74,,0.0604
2014-07-01,845.45,,0.0606
2014-07-02,846.97,,0.0604
2014-07-03,849.13,,0.0606
2014-07-04,847.53,,0.0606
2014-07-07,845.85,,0.0605
2014-07-08,849.61,,0.0604
2014-07-09,837.89,,0.061
2014-07-10,835.26,,0.0616
2014-07-11,838.12,,0.0617
2014-07-14,846.22,,0.0615
2014-07-15,849.72,,0.0613
2014-07-16,851.96,,0.0612
2014-07-17,846.9,,0.0616
2014-07-18,849.79,,0.0616
2014-07-21,846.71,,0.0618
2014-07-22,852.98,,0.0615
2014-07-23,856.19,,0.0613
2014-07-24,871.43,,0.0603
2014-07-25,877.13,,0.0597
2014-07-28,900.76,,0.0579
2014-07-29,905.08,,0.0579
2014-07-30,899.64,,0.058
2014-07-31,909.72,,0.0575
2014-08-01,903.48,,0.0577
2014-08-04,919.79,,0.057
2014-08-05,918.3,,0.0572
2014-08-06,918.77,,0.0575
2014-08-07,905.44,,0.0583
2014-08-08,904.98,,0.0582
2014-08-11,917.15,,0.0575
2014-08-12,914.56,,0.0578
2014-08-13,914.57,,0.0579
2014-08-14,908.88,,0.0582
2014-08-15,915.52,,0.0579
2014-08-18,919.42,,0.0579
2014-08-19,918.88,,0.0577
2014-08-20,916.81,,0.0579
2014-08-21,910.88,,0.0584
2014-08-22,916.97,,0.0582
2014-08-25,910.23,,0.0584
2014-08-26,902.34,,0.0585
2014-08-27,901.53,,0.0586
2014-08-28,895.77,,0.059
2014-08-29,904.27,,0.0587
2014-09-01,908.83,,0.0586
2014-09-02,920.76,,0.0579
2014-09-03,927.41,,0.0573
2014-09-04,933.54,,0.057
2014-09-05,944.01,,0.0566
2014-09-09,943.49,,0.0568
2014-09-10,940.55,,0.0573
2014-09-11,938.48,,0.0574
2014-09-12,945.24,,0.0571
2014-09-15,947.32,,0.0572
2014-09-16,936.82,,0.0575
2014-09-17,942.42,,0.0575
2014-09-18,947.34,,0.0573
2014-09-19,951.52,,0.0574
2014-09-22,937.42,,0.0585
